azimuth_deg,horizon_elev_deg
60.90,9.7937
61.00,9.8825
61.10,9.9245
61.20,9.9928
61.30,10.0418
61.40,10.1518
61.50,10.1518
61.60,10.2744
61.70,10.2879
61.80,10.4068
61.90,10.4907
62.00,10.4907
62.10,10.5954
62.20,10.6689
62.30,10.6689
62.40,10.7334
62.50,10.7334
62.60,10.8170
62.70,10.8170
62.80,10.8170
62.90,10.8533
63.00,10.8533
63.10,10.8533
63.20,10.8002
63.30,10.8426
63.40,10.8638
63.50,10.8638
63.60,10.9305
63.70,10.9305
63.80,10.9876
63.90,11.0050
64.00,11.0050
64.10,11.0371
64.20,11.0371
64.30,11.0267
64.40,11.0043
64.50,11.0043
64.60,10.9774
64.70,10.9249
64.80,10.9249
64.90,10.9249
65.00,10.8521
65.10,10.8770
65.20,10.9295
65.30,10.9295
65.40,10.9682
65.50,10.9707
65.60,10.9989
65.70,11.0642
65.80,11.0642
65.90,11.0642
66.00,11.0767
66.10,11.1049
66.20,11.1494
66.30,11.2440
66.40,11.2440
66.50,11.3186
66.60,11.3250
66.70,11.4297
66.80,11.4495
66.90,11.4495
67.00,11.4770
67.10,11.4770
67.20,11.5323
67.30,11.5323
67.40,11.5170
67.50,11.5170
67.60,11.5429
67.70,11.5711
67.80,11.5711
67.90,11.5711
68.00,11.5924
68.10,11.6296
68.20,11.6296
68.30,11.6379
68.40,11.6379
68.50,11.6379
68.60,11.6239
68.70,11.5878
68.80,11.5793
68.90,11.4802
69.00,11.4311
69.10,11.3881
69.20,11.3392
69.30,11.2702
69.40,11.1944
69.50,11.0859
69.60,11.0859
69.70,10.9948
69.80,10.9561
69.90,10.8950
70.00,10.8905
70.10,10.8905
70.20,10.8235
70.30,10.8201
70.40,10.8339
70.50,10.7445
70.60,10.7445
70.70,10.7326
70.80,10.6496
70.90,10.6434
71.00,10.6344
71.10,10.6344
71.20,10.6344
71.30,10.5480
71.40,10.5441
71.50,10.5441
71.60,10.5339
71.70,10.5339
71.80,10.5290
71.90,10.5195
72.00,10.5195
72.10,10.5554
72.20,10.4735
72.30,10.4610
72.40,10.4378
72.50,10.4378
72.60,10.4042
72.70,10.3752
72.80,10.3075
72.90,10.3075
73.00,10.2832
73.10,10.2112
73.20,10.2031
73.30,10.1567
73.40,10.2400
73.50,10.2400
73.60,10.1878
73.70,10.1878
73.80,10.0932
73.90,10.0932
74.00,10.0932
74.10,10.0479
74.20,10.0198
74.30,9.9354
74.40,9.9354
74.50,9.9354
74.60,9.8184
74.70,9.8184
74.80,9.7745
74.90,9.7097
75.00,9.7097
75.10,9.6669
75.20,9.6176
75.30,9.6176
75.40,9.5331
75.50,9.5331
75.60,9.5331
75.70,9.4539
75.80,9.4052
75.90,9.3261
76.00,9.3261
76.10,9.2823
76.20,9.1901
76.30,9.1632
76.40,9.0805
76.50,9.0805
76.60,9.0241
76.70,9.0167
76.80,8.9600
76.90,8.9600
77.00,8.9600
77.10,8.9165
77.20,8.9165
77.30,8.8991
77.40,8.8991
77.50,8.8991
77.60,8.8990
77.70,8.8990
77.80,8.8864
77.90,8.8864
78.00,8.8864
78.10,8.8681
78.20,8.8813
78.30,8.8818
78.40,8.8818
78.50,8.8702
78.60,8.8702
78.70,8.8702
78.80,8.8407
78.90,8.8407
79.00,8.8005
79.10,8.8005
79.20,8.8487
79.30,8.8260
79.40,8.8260
79.50,8.8078
79.60,8.8078
79.70,8.7694
79.80,8.7694
79.90,8.7694
80.00,8.7059
80.10,8.7059
80.20,8.6769
80.30,8.7512
80.40,8.7553
80.50,8.7553
80.60,8.8078
80.70,8.8721
80.80,8.8721
80.90,8.8721
81.00,8.8721
81.10,8.8250
81.20,8.8160
81.30,8.8160
81.40,8.7395
81.50,8.6437
81.60,8.6437
81.70,8.6437
81.80,8.6315
81.90,8.4724
82.00,8.4724
82.10,8.4534
82.20,8.3210
82.30,8.3210
82.40,8.3210
82.50,8.2323
82.60,8.1736
82.70,8.1736
82.80,8.1107
82.90,8.1107
83.00,8.0535
83.10,8.0535
83.20,8.0535
83.30,8.0354
83.40,8.0354
83.50,8.0354
83.60,8.0354
83.70,8.0586
83.80,8.0586
83.90,8.1416
84.00,8.1416
84.10,8.1416
84.20,8.2287
84.30,8.2564
84.40,8.2555
84.50,8.2555
84.60,8.2555
84.70,8.1032
84.80,8.1032
84.90,8.0973
85.00,8.0001
85.10,8.0001
85.20,7.9179
85.30,7.8891
85.40,7.8891
85.50,7.8542
85.60,7.8542
85.70,7.8542
85.80,7.8383
85.90,7.8383
86.00,7.8049
86.10,7.8049
86.20,7.8049
86.30,7.8166
86.40,7.8166
86.50,7.8411
86.60,7.8411
86.70,7.8411
86.80,7.8542
86.90,7.8542
87.00,7.8542
87.10,7.8355
87.20,7.8355
87.30,7.8507
87.40,7.8507
87.50,7.8507
87.60,7.8736
87.70,7.8736
87.80,7.8913
87.90,7.9311
88.00,7.9311
88.10,7.9239
88.20,7.9239
88.30,7.9565
88.40,7.9565
88.50,7.9565
88.60,7.9319
88.70,7.9319
88.80,7.9822
88.90,7.9822
89.00,7.9822
89.10,7.9302
89.20,7.9302
89.30,7.9090
89.40,7.9090
89.50,7.9090
89.60,7.8576
89.70,7.8576
89.80,7.7735
89.90,7.7735
90.00,7.7735
90.10,7.6643
90.20,7.6643
90.30,7.5865
90.40,7.5865
90.50,7.5613
90.60,7.5613
90.70,7.5076
90.80,7.5076
90.90,7.5076
91.00,7.4937
91.10,7.4937
91.20,7.4697
91.30,7.4697
91.40,7.4098
91.50,7.4098
91.60,7.4098
91.70,7.4616
91.80,7.4616
91.90,7.4616
92.00,7.5358
92.10,7.5358
92.20,7.5608
92.30,7.5608
92.40,7.5666
92.50,7.5666
92.60,7.5666
92.70,7.5581
92.80,7.5581
92.90,7.5208
93.00,7.5208
93.10,7.5150
93.20,7.5150
93.30,7.5150
93.40,7.4535
93.50,7.4744
93.60,7.4744
93.70,7.4198
93.80,7.4154
93.90,7.3650
94.00,7.3650
94.10,7.3355
94.20,7.3355
94.30,7.3254
94.40,7.3254
94.50,7.2803
94.60,7.3399
94.70,7.3399
94.80,7.3423
94.90,7.3423
95.00,7.3010
95.10,7.3010
95.20,7.3010
95.30,7.2636
95.40,7.2636
95.50,7.2476
95.60,7.2476
95.70,7.2993
95.80,7.2993
95.90,7.3797
96.00,7.3797
96.10,7.3797
96.20,7.4243
96.30,7.4243
96.40,7.4411
96.50,7.3973
96.60,7.4241
96.70,7.4241
96.80,7.3824
96.90,7.4436
97.00,7.4436
97.10,7.4863
97.20,7.4863
97.30,7.4863
97.40,7.4909
97.50,7.4909
97.60,7.5177
97.70,7.5177
97.80,7.5177
97.90,7.4549
98.00,7.4549
98.10,7.4087
98.20,7.3445
98.30,7.3445
98.40,7.2939
98.50,7.2939
98.60,7.2939
98.70,7.2370
98.80,7.2370
98.90,7.2370
99.00,7.2287
99.10,7.2287
99.20,7.2293
99.30,7.2293
99.40,7.2521
99.50,7.2490
99.60,7.2490
99.70,7.3067
99.80,7.3067
99.90,7.3361
100.00,7.3361
