azimuth_deg,horizon_elev_deg
53.20,9.3341
53.30,9.3341
53.40,9.3021
53.50,9.3748
53.60,9.3748
53.70,9.3748
53.80,9.3729
53.90,9.2670
54.00,9.2670
54.10,9.2670
54.20,9.3259
54.30,9.2160
54.40,9.2160
54.50,9.2160
54.60,9.2160
54.70,9.2160
54.80,9.2160
54.90,9.1385
55.00,9.2130
55.10,9.2130
55.20,9.2422
55.30,9.2422
55.40,9.2422
55.50,9.3738
55.60,9.3738
55.70,9.3738
55.80,9.3738
55.90,9.4585
56.00,9.4585
56.10,9.4585
56.20,9.4585
56.30,9.4641
56.40,9.4641
56.50,9.4641
56.60,9.4037
56.70,9.4037
56.80,9.5062
56.90,9.5062
57.00,9.5062
57.10,9.5062
57.20,9.5062
57.30,9.5200
57.40,9.5533
57.50,9.5533
57.60,9.5533
57.70,9.5533
57.80,9.5533
57.90,9.6478
58.00,9.6478
58.10,9.6248
58.20,9.6248
58.30,9.6248
58.40,9.6248
58.50,9.6248
58.60,9.6248
58.70,9.5464
58.80,9.5464
58.90,9.5464
59.00,9.5464
59.10,9.5464
59.20,9.5464
59.30,9.5464
59.40,9.5052
59.50,9.4522
59.60,9.4522
59.70,9.4522
59.80,9.4522
59.90,9.4522
60.00,9.4522
60.10,9.4522
60.20,9.3521
60.30,9.4768
60.40,9.4768
60.50,9.4768
60.60,9.4768
60.70,9.5143
60.80,9.5143
60.90,9.5373
61.00,9.5373
61.10,9.5373
61.20,9.5373
61.30,9.5373
61.40,9.5373
61.50,9.5373
61.60,9.5417
61.70,9.4426
61.80,9.4426
61.90,9.4942
62.00,9.4942
62.10,9.4942
62.20,9.3723
62.30,9.3723
62.40,9.3723
62.50,9.3723
62.60,9.3723
62.70,9.3372
62.80,9.3372
62.90,9.2783
63.00,9.2783
63.10,9.2783
63.20,9.2523
63.30,9.2523
63.40,9.2523
63.50,9.1349
63.60,9.1349
63.70,9.1349
63.80,9.1349
63.90,9.1349
64.00,9.1321
64.10,9.1321
64.20,9.0647
64.30,9.0647
64.40,9.0647
64.50,9.0311
64.60,9.0311
64.70,8.9686
64.80,8.9369
64.90,8.9369
65.00,8.9369
65.10,9.0376
65.20,9.0376
65.30,9.0376
65.40,8.9120
65.50,8.9120
65.60,8.9120
65.70,8.9120
65.80,8.9120
65.90,8.9120
66.00,8.9120
66.10,8.7718
66.20,8.7982
66.30,8.7982
66.40,8.7982
66.50,8.7982
66.60,8.7982
66.70,8.7040
66.80,8.7040
66.90,8.7040
67.00,8.7040
67.10,8.7040
67.20,8.7040
67.30,8.6178
67.40,8.6444
67.50,8.6444
67.60,8.6444
67.70,8.6444
67.80,8.6444
67.90,8.5686
68.00,8.5686
68.10,8.5686
68.20,8.4984
68.30,8.4984
68.40,8.4984
68.50,8.4920
68.60,8.4920
68.70,8.4920
68.80,8.3719
68.90,8.3719
69.00,8.3719
69.10,8.3321
69.20,8.3321
69.30,8.3321
69.40,8.2891
69.50,8.2891
69.60,8.2891
69.70,8.2891
69.80,8.2193
69.90,8.2193
70.00,8.0648
70.10,8.0648
70.20,8.0648
70.30,8.0648
70.40,7.9831
70.50,7.9831
70.60,7.7977
70.70,7.7977
70.80,7.7977
70.90,7.7775
71.00,7.6611
71.10,7.6611
71.20,7.6183
71.30,7.4750
71.40,7.4770
71.50,7.4770
71.60,7.4620
71.70,7.4884
71.80,7.4884
71.90,7.7633
72.00,7.7633
72.10,7.7633
72.20,7.8571
72.30,7.8571
72.40,7.8571
72.50,7.9346
72.60,7.9346
72.70,7.9346
72.80,8.1001
72.90,8.1010
73.00,8.1010
73.10,8.1010
73.20,8.3407
73.30,8.3407
73.40,8.3407
73.50,8.5595
73.60,8.5595
73.70,8.5595
73.80,8.5595
73.90,8.5595
74.00,8.5595
74.10,8.5595
74.20,8.7458
74.30,8.7458
74.40,8.7458
74.50,8.7458
74.60,8.7458
74.70,8.7458
74.80,8.8263
74.90,8.8263
75.00,8.8263
75.10,8.8263
75.20,8.8263
75.30,8.9895
