azimuth_deg,horizon_elev_deg
110.20,3.7124
110.30,3.7124
110.40,3.7124
110.50,3.6103
110.60,3.6103
110.70,3.6103
110.80,3.6103
110.90,3.6103
111.00,3.4767
111.10,3.4769
111.20,3.5340
111.30,3.5518
111.40,3.5518
111.50,3.5461
111.60,3.5461
111.70,3.5361
111.80,3.5414
111.90,3.5771
112.00,3.5771
112.10,3.6063
112.20,3.6063
112.30,3.6180
112.40,3.6837
112.50,3.6837
112.60,3.6673
112.70,3.6661
112.80,3.6249
112.90,3.6249
113.00,3.6131
113.10,3.6259
113.20,3.6259
113.30,3.6022
113.40,3.5963
113.50,3.5786
113.60,3.5786
113.70,3.5194
113.80,3.4895
113.90,3.4895
114.00,3.4542
114.10,3.4130
114.20,3.3487
114.30,3.3487
114.40,3.2792
114.50,3.2316
114.60,3.2268
114.70,3.1437
114.80,3.0887
114.90,3.0887
115.00,2.9461
115.10,2.9461
115.20,2.9088
115.30,2.8999
115.40,2.8218
115.50,2.8218
115.60,2.7638
115.70,2.7209
115.80,2.6805
115.90,2.6459
116.00,2.6690
116.10,2.6690
116.20,2.6441
116.30,2.5924
116.40,2.5924
116.50,2.5636
116.60,2.5636
116.70,2.4085
116.80,2.3678
116.90,2.3452
117.00,2.3452
117.10,2.3107
117.20,2.2590
117.30,2.1619
117.40,2.1555
117.50,2.0589
117.60,2.0589
117.70,1.9600
117.80,1.8815
117.90,1.8494
118.00,1.7924
118.10,1.7924
118.20,1.7468
118.30,1.7468
118.40,1.7297
118.50,1.7297
118.60,1.7070
118.70,1.7070
118.80,1.6785
118.90,1.7241
119.00,1.7070
119.10,1.7098
119.20,1.7127
119.30,1.7127
119.40,1.6785
119.50,1.6557
119.60,1.5873
119.70,1.5455
119.80,1.4392
119.90,1.4392
120.00,1.3538
120.10,1.3538
120.20,1.2847
120.30,1.2847
120.40,1.1883
120.50,1.1940
120.60,1.1543
120.70,1.1543
120.80,1.1486
120.90,1.1712
121.00,1.2166
121.10,1.2107
121.20,1.2107
121.30,1.1823
121.40,1.1823
121.50,1.2163
121.60,1.1991
121.70,1.1599
121.80,1.1542
121.90,1.1373
122.00,1.0983
122.10,1.0983
122.20,1.0985
122.30,1.1043
122.40,1.1930
122.50,1.1930
122.60,1.2709
122.70,1.2709
122.80,1.2820
122.90,1.2813
123.00,1.2371
123.10,1.2647
123.20,1.2375
123.30,1.2758
123.40,1.3098
123.50,1.3098
123.60,1.3588
123.70,1.3588
123.80,1.3699
123.90,1.3865
124.00,1.3865
124.10,1.3821
124.20,1.4043
124.30,1.4043
124.40,1.3932
124.50,1.3987
124.60,1.4167
124.70,1.4167
124.80,1.4181
124.90,1.4461
125.00,1.4461
125.10,1.4420
125.20,1.4831
125.30,1.4774
125.40,1.5190
125.50,1.5190
125.60,1.5398
125.70,1.5816
125.80,1.5816
125.90,1.5781
126.00,1.5905
126.10,1.6428
126.20,1.6428
126.30,1.6719
126.40,1.6719
126.50,1.6312
126.60,1.6196
126.70,1.5847
126.80,1.5789
126.90,1.5577
127.00,1.5577
127.10,1.5577
127.20,1.5481
127.30,1.5422
127.40,1.5128
127.50,1.5029
127.60,1.4573
127.70,1.4573
127.80,1.4172
127.90,1.4158
128.00,1.4039
128.10,1.3874
128.20,1.3874
128.30,1.3874
128.40,1.3814
128.50,1.3287
128.60,1.3287
128.70,1.2935
128.80,1.2336
128.90,1.1847
129.00,1.0749
129.10,1.0749
129.20,1.0749
129.30,1.0141
129.40,1.0141
129.50,1.0263
129.60,1.0263
129.70,1.0447
129.80,1.0202
129.90,1.0202
130.00,0.9904
130.10,0.9904
130.20,1.0209
130.30,1.0087
130.40,1.0155
130.50,1.0391
130.60,1.0458
130.70,1.0879
130.80,1.0879
130.90,1.1124
131.00,1.1488
131.10,1.1912
131.20,1.2276
131.30,1.2639
131.40,1.2639
131.50,1.2821
131.60,1.2700
131.70,1.2761
131.80,1.2579
131.90,1.2814
132.00,1.2995
132.10,1.3236
132.20,1.3778
132.30,1.3778
132.40,1.3778
132.50,1.4321
132.60,1.4502
132.70,1.5104
132.80,1.5225
132.90,1.5505
133.00,1.5587
133.10,1.5587
133.20,1.6008
133.30,1.6008
133.40,1.6165
133.50,1.6105
133.60,1.6165
133.70,1.6284
133.80,1.6200
133.90,1.6796
134.00,1.6887
134.10,1.6887
134.20,1.7836
134.30,1.7836
134.40,1.8406
134.50,1.8406
134.60,1.8844
134.70,1.9141
134.80,1.9141
134.90,1.9912
135.00,1.9912
135.10,2.0031
135.20,2.0353
135.30,2.0717
135.40,2.1048
135.50,2.1292
135.60,2.1826
135.70,2.2176
135.80,2.2468
135.90,2.2702
136.00,2.2702
136.10,2.2643
136.20,2.2877
136.30,2.2877
136.40,2.3463
136.50,2.3639
136.60,2.3639
136.70,2.3581
136.80,2.3584
136.90,2.3584
137.00,2.2571
137.10,2.2577
137.20,2.2815
137.30,2.2447
137.40,2.2260
137.50,2.2014
137.60,2.2014
137.70,2.1391
137.80,2.1507
137.90,2.1507
138.00,2.1134
138.10,2.1009
138.20,2.0811
138.30,2.0926
138.40,2.0926
138.50,2.0486
138.60,2.0486
138.70,2.0486
138.80,1.8828
138.90,1.8599
139.00,1.8233
139.10,1.7979
139.20,1.7915
139.30,1.7851
139.40,1.7851
139.50,1.7215
139.60,1.7215
139.70,1.6928
139.80,1.6928
139.90,1.6444
140.00,1.6416
140.10,1.6380
140.20,1.5865
140.30,1.5502
140.40,1.5134
140.50,1.5114
140.60,1.4939
140.70,1.4679
140.80,1.4361
140.90,1.4361
141.00,1.4308
141.10,1.4308
141.20,1.3882
141.30,1.3775
141.40,1.3638
141.50,1.3733
141.60,1.3983
141.70,1.4203
141.80,1.4465
141.90,1.4593
142.00,1.4593
142.10,1.4734
142.20,1.4904
142.30,1.5146
142.40,1.5198
142.50,1.5507
142.60,1.5611
142.70,1.6157
142.80,1.6773
142.90,1.6773
143.00,1.6773
143.10,1.6722
143.20,1.6567
143.30,1.6105
143.40,1.6187
143.50,1.6238
143.60,1.6187
143.70,1.5746
143.80,1.5708
143.90,1.5181
144.00,1.4770
144.10,1.4270
144.20,1.3857
144.30,1.3358
144.40,1.3010
144.50,1.3525
144.60,1.3525
144.70,1.3895
144.80,1.4448
144.90,1.4740
145.00,1.5360
145.10,1.6006
145.20,1.6237
145.30,1.6237
145.40,1.5960
145.50,1.5390
145.60,1.5221
145.70,1.4170
145.80,1.3505
145.90,1.3374
146.00,1.2362
146.10,1.1666
146.20,1.1067
146.30,1.0550
146.40,1.0003
146.50,0.9318
146.60,0.9125
146.70,0.8432
146.80,0.7693
146.90,0.7693
147.00,0.7000
147.10,0.6122
147.20,0.5453
147.30,0.5080
147.40,0.4406
147.50,0.4161
147.60,0.4115
147.70,0.3797
147.80,0.3751
147.90,0.3629
148.00,0.3887
148.10,0.4319
148.20,0.4516
148.30,0.5170
148.40,0.5729
148.50,0.6264
148.60,0.6423
148.70,0.6666
148.80,0.7245
148.90,0.7587
149.00,0.7914
149.10,0.8303
149.20,0.8706
149.30,0.8939
149.40,0.9064
149.50,0.9422
149.60,0.9875
149.70,1.0585
149.80,1.0681
149.90,1.1079
150.00,1.1658
150.10,1.2193
150.20,1.2148
150.30,1.2148
150.40,1.2371
150.50,1.2590
150.60,1.2945
150.70,1.3735
150.80,1.4092
150.90,1.4441
151.00,1.4484
151.10,1.5224
151.20,1.5486
151.30,1.5486
151.40,1.6095
151.50,1.6356
151.60,1.6637
151.70,1.6966
151.80,1.7249
151.90,1.7445
152.00,1.7666
152.10,1.8402
152.20,1.8385
152.30,1.8751
152.40,1.9303
152.50,1.9521
152.60,1.9752
152.70,2.0045
